[22-May-2013 21:36:20 America/New_York] PHP Fatal error:  Class 'ResourceBundle' not found in /var/www/frameworks/Symfony-2.2.0/te.php on line 4
[22-May-2013 21:37:03 America/New_York] PHP Fatal error:  Class 'ResourceBundle' not found in /var/www/frameworks/Symfony-2.2.0/te.php on line 4
[26-May-2013 07:30:34 America/New_York] PHP Deprecated:  MinLength is deprecated since version 2.1 and will be removed in 2.3. Use Length instead. in /var/www/frameworks/Symfony-2.2.0/vendor/symfony/symfony/src/Symfony/Component/Validator/Constraints/MinLength.php on line 31
[26-May-2013 07:30:34 America/New_York] PHP Deprecated:  MaxLength is deprecated since version 2.1 and will be removed in 2.3. Use Length instead. in /var/www/frameworks/Symfony-2.2.0/vendor/symfony/symfony/src/Symfony/Component/Validator/Constraints/MaxLength.php on line 31
[26-May-2013 07:30:35 America/New_York] PHP Deprecated:  MinLength is deprecated since version 2.1 and will be removed in 2.3. Use Length instead. in /var/www/frameworks/Symfony-2.2.0/vendor/symfony/symfony/src/Symfony/Component/Validator/Constraints/MinLength.php on line 31
[26-May-2013 07:30:35 America/New_York] PHP Deprecated:  MinLength is deprecated since version 2.1 and will be removed in 2.3. Use Length instead. in /var/www/frameworks/Symfony-2.2.0/vendor/symfony/symfony/src/Symfony/Component/Validator/Constraints/MinLength.php on line 31
[26-May-2013 07:30:54 America/New_York] PHP Deprecated:  MinLength is deprecated since version 2.1 and will be removed in 2.3. Use Length instead. in /var/www/frameworks/Symfony-2.2.0/vendor/symfony/symfony/src/Symfony/Component/Validator/Constraints/MinLength.php on line 31
[26-May-2013 07:30:54 America/New_York] PHP Deprecated:  MaxLength is deprecated since version 2.1 and will be removed in 2.3. Use Length instead. in /var/www/frameworks/Symfony-2.2.0/vendor/symfony/symfony/src/Symfony/Component/Validator/Constraints/MaxLength.php on line 31
[26-May-2013 07:30:54 America/New_York] PHP Deprecated:  MinLength is deprecated since version 2.1 and will be removed in 2.3. Use Length instead. in /var/www/frameworks/Symfony-2.2.0/vendor/symfony/symfony/src/Symfony/Component/Validator/Constraints/MinLength.php on line 31
[26-May-2013 07:30:54 America/New_York] PHP Deprecated:  MinLength is deprecated since version 2.1 and will be removed in 2.3. Use Length instead. in /var/www/frameworks/Symfony-2.2.0/vendor/symfony/symfony/src/Symfony/Component/Validator/Constraints/MinLength.php on line 31
[26-May-2013 07:30:57 America/New_York] PHP Fatal error:  Cannot redeclare class EnhancedProxy_67c9a652deabbfb604070f0a7c3b533996c1ec4b\__CG__\Poa\MainBundle\Controller\SecuredController in /var/www/frameworks/Symfony-2.2.0/app/cache/pro_/jms_diextra/proxies/Poa-MainBundle-Controller-SecuredController.php on line 28
